courseID	courseName	credits	subject	term	eligibleGrades	prerequisite	corequisite	enrollmentNotes	description	isElective	courseType
AR208G	PHOTOGRAPHIC IMAGING I	0.5	Art	Spring Semester	9th, 10th, 11th, 12th	Successful completion of Visual Art and Technology	N/A	N/A	If a picture is worth 1,000 words, then what do you want to say? In Photographic Imaging I, students will examine how artists compose and manipulate images and utilize a variety of technologies to communicate ideas.	Yes	Normal
AR301G	STUDIO ART 3	0.5	Art	Fall Semester	10th, 11th, 12th	Successful completion of Studio Art 1 and Studio Art 2	N/A	N/A	Students will explore the visual arts. Media may include drawing, painting, clay, sculpture, and mixed media. This advanced course emphasizes creative individual solutions, conceptual thinking, and the development of design aesthetics while providing hands-on experience in a variety of media.	Yes	Normal
AR305G	ART AND DESIGN II	0.5	Art	Fall Semester	10th, 11th, 12th	Successful completion of Art and Design 1	N/A	N/A	How does design affect the world around you? Design thinking and mastery of the media arts play an essential role in today's careers. This advanced course helps students learn to utilize design thinking as a real world problem-solving skill and help designers, illustrators, and digital media artists develop their individual style.	Yes	Normal
AR306G	ART AND DESIGN II	0.5	Art	Spring Semester	10th, 11th, 12th	Successful completion of Art and Design 1	N/A	N/A	How does design affect the world around you? Design thinking and mastery of the media arts play an essential role in today's careers. This advanced course helps students learn to utilize design thinking as a real world problem-solving skill and help designers, illustrators, and digital media artists develop their individual style.	Yes	Normal
AR307G	PHOTOGRAPHIC IMAGING II	0.5	Art	Fall Semester	10th, 11th, 12th	Successful completion of Photo 1	N/A	Successful completion of Photographic Imaging I	Influence the world through your lens. Photographic Imaging 2 allows the dedicated photographer to further their skills and experiences, whether the student's interest is fine art photography, photojournalism and/or commercial photography.	Yes	Normal
AR308G	PHOTOGRAPHIC IMAGING II	0.5	Art	Spring Semester	10th, 11th, 12th	Successful completion of Photographic Imaging I	N/A	N/A	Influence the world through your lens. Photographic Imaging 2 allows the dedicated photographer to further their skills and experiences, whether the student's interest is fine art photography, photojournalism and/or commercial photography.	Yes	Normal
AR401G	STUDIO ART 4	0.5	Art	Fall Semester	11th, 12th	Successful completion of Studio Art 3 or division leader approval	N/A	N/A	Students will explore the visual arts. Media may include drawing, painting, clay, sculpture, and mixed media. This advanced course emphasizes creative individual solutions, conceptual thinking, and the development of design aesthetics while providing hands-on experience in a variety of media.	Yes	Normal
AR402G	STUDIO ART 4	0.5	Art	Spring Semester	11th, 12th	Successful completion of Studio Art 3 or division leader approval	N/A	N/A	Students will explore the visual arts. Media may include drawing, painting, clay, sculpture, and mixed media. This advanced course emphasizes creative individual solutions, conceptual thinking, and the development of design aesthetics while providing hands-on experience in a variety of media.	Yes	Normal
AR405G	DESIGN AND PRODUCTION	0.5	Art	Fall Semester	12th	Art and Design 2 or Division Leader Approval	N/A	N/A	This course is intended to give the advanced graphic design and/or photography student the opportunity to have a "real-world" experience in their respective area. The majority of student work will be under the guidelines and wishes of various clients; be it staff or faculty in school, friends or relatives out of school or contests and opportunities found online. Advanced production techniques are stressed to develop graphic design (which may include t-shirts designs, logos, posters, etc) from idea to production-ready art for their client. Photography students may be asked to shoot in traditional or digital format. Work may include shoots for publications or events for school and creation of a production-ready file or a finished print for the client. Graphic Design and Photography students may work independently or together, depending on the job. The instructor will work as a facilitator and mentor as the student develops a body of work with the goal of professional portfolio and exhibit	Yes	Normal
AR406G	DESIGN AND PRODUCTION	0.5	Art	Spring Semester	12th	Art and Design 2 or Permission of Division Leader	N/A	N/A	This course is intended to give the advanced graphic design and/or photography student the opportunity to have a "real-world" experience in their respective area. The majority of student work will be under the guidelines and wishes of various clients; be it staff or faculty in school, friends or relatives out of school or contests and opportunities found online. Advanced production techniques are stressed to develop graphic design (which may include t-shirts designs, logos, posters, etc) from idea to production-ready art for their client. Photography students may be asked to shoot in traditional or digital format. Work may include shoots for publications or events for school and creation of a production-ready file or a finished print for the client. GraphicDesign and Photography students may work independently or together, depending on the job. The instructor will work as a facilitator and mentor as the student develops a body of work with the goal of professional portfolio and exhibit	Yes	Normal
AR501G	ART INDEPENDENT STUDY	0.5	Art	Fall Semester	9th, 10th, 11th, 12th	N/A	N/A	Instructor and Division Leader Approval	This course will provide students opportunities to refine their skills and create for a wide variety of purposes and audiences. Students will be allowed to choose their own areas of focus and explore ways that Art can make a difference in the world. This course offers students involvement in a creative, collaborative atmosphere where they will develop their own direction resulting in the creation of a cohesive body of work for portfolio and exhibition purposes. Curriculum project concepts and media are self-directed with the teacher acting as a facilitator. Note: There may be other optional material costs associated with this course.	Yes	Normal
AR502G	ART INDEPENDENT STUDY	0.5	Art	Spring Semester	9th, 10th, 11th, 12th	N/A	N/A	Instructor and Division Leader Approval	This course will provide students opportunities to refine their skills and create for a wide variety of purposes and audiences. Students will be allowed to choose their own areas of focus and explore ways that Art can make a difference in the world. This course offers students involvement in a creative, collaborative atmosphere where they will develop their own direction resulting in the creation of a cohesive body of work for portfolio and exhibition purposes. Curriculum project concepts and media are self-directed with the teacher acting as a facilitator. Note: There may be other optional material costs associated with this course.	Yes	Normal
AR601G	DC ART APPRECIATION	0.5	Art	Fall Semester	9th, 10th, 11th, 12th	N/A	N/A	N/A	Dual Credit Art Appreciation is a semester-long course that focuses on appreciating all facets of art and what it has to offer us. The course will study the visual arts (painting, drawing, printmaking, sculpture, and architecture) and how they express cultural traditions as well as offer human and aesthetic value to the world around us. The course examines how different factors contribute to our understanding of works of art, including their function and meaning. While the class focuses on the study of art, students will also be given an opportunity to participate in art-making for the joy and experience of it.	Yes	DC
AR602G	DC ART APPRECIATION	0.5	Art	Spring Semester	9th, 10th, 11th, 12th	N/A	N/A	N/A	Dual Credit Art Appreciation is a semester-long course that focuses on appreciating all facets of art and what it has to offer us. The course will study the visual arts (painting, drawing, printmaking, sculpture, and architecture) and how they express cultural traditions as well as offer human and aesthetic value to the world around us. The course examines how different factors contribute to our understanding of works of art, including their function and meaning. While the class focuses on the study of art, students will also be given an opportunity to participate in art-making for the joy and experience of it.	Yes	DC
AR603G	DC ART HISTORY I	0.5	Art	Fall Semester	10th, 11th, 12th	N/A	N/A	N/A	Art History I is a survey of Western art from prehistoric times through the 15th century. It covers the historical development of the visual arts, focusing on major artistic styles, movements, works of art and monuments. Works are examined as expressions of the ideas, beliefs and practices of artists, cultures and societies. No prior experience in art history is required.	Yes	DC
AR604G	DC ART HISTORY I	0.5	Art	Spring Semester	10th, 11th, 12th	N/A	N/A	None	Art History I is a survey of Western art from prehistoric times through the 15th century. It covers the historical development of the visual arts, focusing on major artistic styles, movements, works of art and monuments. Works are examined as expressions of the ideas, beliefs and practices of artists, cultures and societies. No prior experience in art history is required.	Yes	DC
AR605G	DC ART HISTORY II	0.5	Art	Spring Semester	10th, 11th, 12th	N/A	N/A	N/A	Art History II is a survey of Western art beginning circa 16th century. It covers the historical development of the visual arts, focusing on major artistic styles, movements, works of art and monuments. Works are examined as expressions of the ideas, beliefs and practices of artists, cultures and societies. No prior experience in art history is required.	Yes	DC
AR606G	DC ART HISTORY II	0.5	Art	Spring Semester	10th, 11th, 12th	N/A	N/A	None	Art History II is a survey of Western art beginning circa 16th century. It covers the historical development of the visual arts, focusing on major artistic styles, movements, works of art and monuments. Works are examined as expressions of the ideas, beliefs and practices of artists, cultures and societies. No prior experience in art history is required.	Yes	DC
AR621G	AP STUDIO ART 2D	0.5	Art	Fall Semester	12th	Successful completion of at least five Art classes and division leader approval	N/A	N/A	AP Studio Art 2D, 3D and Drawing are three different year-long courses. Each of them is designed for students that are highly motivated to do college level work in studio art while still in high school. AP is also an opportunity for students to qualify for college credit in a high school environment. AP work is not based on a written exam; instead, students are required to submit portfolios for College Board evaluation at the end of the school year. As an AP student, you will build your portfolio based on three sections; quality, concentration and breadth. AP work does involve significantly more time and commitment than most high school courses.	Yes	AP
AR622G	AP STUDIO ART 2D	0.5	Art	Spring Semester	12th	N/A	N/A	Successful completion of at least 5 art classes & division leader approval.	AP Studio Art 2D, 3D and Drawing are three different year-long courses. Each of them is designed for students that are highly motivated to do college level work in studio art while still in high school. AP is also an opportunity for students to qualify for college credit in a high school environment. AP work is not based on a written exam; instead, students are required to submit portfolios for College Board evaluation at the end of the school year. As an AP student, you will build your portfolio based on three sections; quality, concentration and breadth. AP work does involve significantly more time and commitment than most high school courses.	Yes	AP
BU101G	INTRODUCTION TO BUSINESS I	0.5	Business	Fall Semester	9th, 10th	N/A	N/A	None	This course meets the Consumer Education requirement for graduation. This orientation-level course will provide an overview of all aspects of business marketing and management, including...	Yes	Normal
BU102G	INTRODUCTION TO BUSINESS I	0.5	Business	Spring Semester	9th, 10th	N/A	N/A	None	This course meets the Consumer Education requirement for graduation. This orientation-level course will provide an overview of all aspects of business marketing and management, including...	Yes	Normal
BU105I	AMPED: Alg 1 in MFG Processes, Entrepreneurship & Design	0.5	Business	Fall Semester	9th	N/A	N/A	None	Students will gain a deeper understanding of both Algebra and Entrepreneurship by combining math with project-based learning in the business world...	Yes	Normal
BU106I	AMPED: Alg 1 in MFG Processes, Entrepreneurship & Design	0.5	Business	Spring Semester	9th	N/A	N/A	None	Students will gain a deeper understanding of both Algebra and Entrepreneurship by combining math with project-based learning in the business world...	Yes	Normal
BU201G	ACCOUNTING I	0.5	Business	Fall Semester	10th, 11th, 12th	N/A	N/A	None	This course assists students pursuing a career in business, marketing, and management. It develops basic skills used in financial and product control records...	Yes	Normal
BU202G	ACCOUNTING II	0.5	Business	Spring Semester	10th, 11th, 12th	N/A	N/A	None	This course assists students pursuing a career in business, marketing, and management. It develops basic skills used in financial and product control records...	Yes	Normal
BU203G	BUSINESS LAW	0.5	Business	Fall Semester	10th, 11th, 12th	N/A	N/A	None	This course provides an overview of business law including legal systems, contracts, property law, and concludes with a mock trial experience.	Yes	Normal
BU204G	BUSINESS LAW	0.5	Business	Spring Semester	10th, 11th, 12th	N/A	N/A	None	This course provides an overview of business law including legal systems, contracts, property law, and concludes with a mock trial experience.	Yes	Normal
BU301G	CONSUMER EDUCATION	0.25	Business	Fall Semester	11th, 12th	N/A	N/A	None	This course gives students an understanding of their role as consumers, including credit, loans, budgeting, banking, and investing.	Yes	Normal
BU302G	CONSUMER EDUCATION	0.25	Business	Spring Semester	11th, 12th	N/A	N/A	None	This course gives students an understanding of their role as consumers, including credit, loans, budgeting, banking, and investing.	Yes	Normal
BU401O	MICRO-INTERNSHIP	0.25	Business	Fall Semester	11th, 12th	N/A	N/A	None	This online asynchronous course includes career prep and a 5-week internship. Topics include resumes, LinkedIn, interviews, and more.	Yes	Normal
BU402O	MICRO-INTERNSHIP	0.25	Business	Spring Semester	11th, 12th	N/A	N/A	None	This online asynchronous course includes career prep and a 5-week internship. Topics include resumes, LinkedIn, interviews, and more.	Yes	Normal
BU601G	DC COMPUTER BUSINESS APPLICATIONS I	0.5	Business	Fall Semester	9th, 10th, 11th, 12th	N/A	N/A	None	Dual Credit course using Microsoft Office & Google Suite for business tasks. Includes topics like spreadsheets, databases, HTML, and ethics.	Yes	DC
BU602G	DC COMPUTER BUSINESS APPLICATIONS I	0.5	Business	Spring Semester	9th, 10th, 11th, 12th	N/A	N/A	None	Dual Credit course using Microsoft Office & Google Suite for business tasks. Includes topics like spreadsheets, databases, HTML, and ethics.	Yes	DC
BU603G	DC MARKETING	0.5	Business	Fall Semester	10th, 11th, 12th	N/A	N/A	None	Hands-on marketing course including market planning, promotions, trends, and collaboration with local businesses.	Yes	DC
BU604G	DC MARKETING	0.5	Business	Spring Semester	10th, 11th, 12th	N/A	N/A	None	Hands-on marketing course including market planning, promotions, trends, and collaboration with local businesses.	Yes	DC
BU607G	DC BUSINESS INCUBATOR	0.5	Business	Fall Semester	11th, 12th	N/A	N/A	None	Capstone Dual Credit course where students build real businesses in teams, covering entrepreneurship, finance, law, HR, and marketing.	Yes	DC
BU608G	DC BUSINESS INCUBATOR	0.5	Business	Spring Semester	11th, 12th	N/A	N/A	None	Capstone Dual Credit course where students build real businesses in teams, covering entrepreneurship, finance, law, HR, and marketing.	Yes	DC
CS101G	INTRODUCTION TO COMPUTER SCIENCE	0.5	Computer Science	Fall Semester	9th, 10th, 11th, 12th	N/A	N/A	Algebra	This course meets the Computer Education requirement for graduation. The students will learn basic elements of coding and Android-based mobile application design and apply these concepts to problems in mathematics and related areas. Additionally, students will design algorithms to assist in solving these problems. Students will find this course designed to establish a foundation for further study in computer science and to prepare college-bound students who will need computer knowledge to carry out study and application in a variety of subject areas.	Yes	Normal
CS102G	INTRODUCTION TO COMPUTER SCIENCE	0.5	Computer Science	Spring Semester	9th, 10th, 11th, 12th	N/A	N/A	Algebra	Same as CS101G.	Yes	Normal
CS201G	MOBILE APP DEVELOPMENT	0.5	Computer Science	Fall Semester	9th, 10th, 11th, 12th	N/A	N/A	None	This course meets the Computer Education requirement for graduation. Mobile applications are a part of today's society. With the need for all these apps, there is a growing demand for software design and engineering jobs. This course will teach you skills needed to develop fully functioning apps and build the skills to become part of this job market. Over the course, students learn CS and programming aligned to CSTA standards, collaborate on real-world apps, and pitch their own final project.	Yes	Normal
CS202G	MOBILE APP DEVELOPMENT	0.5	Computer Science	Spring Semester	9th, 10th, 11th, 12th	N/A	N/A	None	Same as CS201G.	Yes	Normal
CS301G	HONORS- PLTW CYBERSECURITY	0.5	Computer Science	Fall Semester	10th, 11th, 12th	Successful completion of a Computer Science course	N/A	N/A	Cybersecurity explores tools and concepts of cybersecurity and creates solutions that empower people to share computing resources while protecting privacy. Students solve problems, close vulnerabilities, and develop ethical and professional behaviors in a secure cyber-infrastructure.	Yes	Honors
CS302G	HONORS- PLTW CYBERSECURITY	0.5	Computer Science	Spring Semester	10th, 11th, 12th	N/A	N/A	N/A	Same as CS301G.	Yes	Honors
CS601G	AP COMPUTER SCIENCE PRINCIPLES	0.5	Computer Science	Fall Semester	9th, 10th, 11th, 12th	N/A	N/A	Algebra I recommended	This course meets the Computer Education requirement. An AP College Board course introducing students to foundational computer science concepts and how computing impacts the world. Focuses on creative problem solving, real-world application, and seven core ideas including algorithms, data, and global impact.	Yes	AP
CS602G	AP COMPUTER SCIENCE PRINCIPLES	0.5	Computer Science	Spring Semester	9th, 10th, 11th, 12th	N/A	N/A	Algebra I recommended	Same as CS601G.	Yes	AP
CS603G	AP COMPUTER SCIENCE A	0.5	Computer Science	Fall Semester	9th, 10th, 11th, 12th	N/A	N/A	Geometry or teacher recommendation	Course meets Computer Education requirements. Not just a programming course, it covers modular design, recursion, data structures, algorithms, and modeling. Prepares students for the AP exam and may count toward math credit with prior coursework.	Yes	AP
CS604G	AP COMPUTER SCIENCE A	0.5	Computer Science	Spring Semester	9th, 10th, 11th, 12th	N/A	N/A	Geometry or teacher recommendation	Same as CS603G.	Yes	AP
CS605G	DC ADVANCED MOBILE APPS	0.5	Computer Science	Fall Semester	10th, 11th, 12th	AP Computer Science A	N/A	N/A	DC-level course focused on advanced app programming, debugging, version control, UI/UX design, and real-world mobile app development projects.	Yes	DC
CS606G	DC ADVANCED MOBILE APPS	0.5	Computer Science	Spring Semester	10th, 11th, 12th	AP Computer Science A	N/A	N/A	Same as CS605G.	Yes	DC
DE201G	DRIVER EDUCATION - CLASSROOM	0.25	Driver's Education	Fall Semester	10th, 11th, 12th	15 years of age; pass 8 classes in the previous two semesters	N/A	The classroom phase stresses safety and attitudes for safe driving. Students must complete 30 clock hours to receive credit.	This course is the first phase of the two-phase Driver Education program. It is a required phase for graduation and stresses safety and attitudes for safe driving. It includes 30 hours of classroom instruction. Students who complete this phase may then move to the behind-the-wheel phase.	Yes	Normal
DE202G	DRIVER EDUCATION - CLASSROOM	0.25	Driver's Education	Spring Semester	10th, 11th, 12th	15 years of age; pass 8 classes in the previous two semesters	N/A	The classroom phase stresses safety and attitudes for safe driving. Students must complete 30 clock hours to receive credit.	This course is the first phase of the two-phase Driver Education program. It is a required phase for graduation and stresses safety and attitudes for safe driving. It includes 30 hours of classroom instruction. Students who complete this phase may then move to the behind-the-wheel phase.	Yes	Normal
DE203G	DRIVER EDUCATION - BEHIND THE WHEEL	0	Driver's Education	Fall Semester	10th, 11th, 12th	15 years of age; pass 8 classes in the previous two semesters	N/A	Students must complete 6 clock hours of driving instruction. Students must also complete the classroom phase (DE201G).	The behind-the-wheel phase teaches safe and competent driving practices in actual on-the-street situations. A student must have 6 clock hours in order to receive credit. This phase is optional but offers hands-on training for those seeking it.	Yes	Normal
DE204G	DRIVER EDUCATION - BEHIND THE WHEEL	0	Driver's Education	Spring Semester	10th, 11th, 12th	15 years of age; pass 8 classes in the previous two semesters	N/A	Students must complete 6 clock hours of driving instruction. Students must also complete the classroom phase (DE202G).	The behind-the-wheel phase teaches safe and competent driving practices in actual on-the-street situations. A student must have 6 clock hours in order to receive credit. This phase is optional but offers hands-on training for those seeking it.	Yes	Normal
TRDE10	Transfer- Driver's Education	0.25	Driver's Education	Fall Semester, Spring Semester	9th, 10th, 11th, 12th	N/A	N/A	Students can fulfill the Driver's Education requirement for graduation through Private Driver's Education.	This option allows students to complete their Driver's Education requirement through private driving schools.	Yes	Normal
AV101G	Avid Fr	0.5	Elective	Fall Semester	9th, 10th, 11th, 12th	N/A	N/A	N/A	N/A	Yes	Normal
AV102G	Avid Fr	0.5	Elective	Spring Semester	9th, 10th, 11th, 12th	N/A	N/A	N/A	N/A	Yes	Normal
AV201G	Avid So	0.5	Elective	Fall Semester	9th, 10th, 11th, 12th	N/A	N/A	N/A	N/A	Yes	Normal
AV202G	Avid So	0.5	Elective	Spring Semester	9th, 10th, 11th, 12th	N/A	N/A	N/A	N/A	Yes	Normal
AV301G	Avid Jr	0.5	Elective	Fall Semester	9th, 10th, 11th, 12th	N/A	N/A	N/A	N/A	Yes	Normal
AV302G	Avid Jr	0.5	Elective	Spring Semester	9th, 10th, 11th, 12th	N/A	N/A	N/A	N/A	Yes	Normal
AV401G	Avid Sr	0.5	Elective	Fall Semester	9th, 10th, 11th, 12th	N/A	N/A	N/A	N/A	Yes	Normal
AV402G	Avid Sr	0.5	Elective	Spring Semester	9th, 10th, 11th, 12th	N/A	N/A	N/A	N/A	Yes	Normal
EN101C	FRESHMAN CLIMB ENGLISH	0.5	English	Fall Semester	9th	N/A	N/A	Approval of the division leader.	The purpose of Climb is to increase reading, writing, and thinking skills for students with below-grade-level reading.	Yes	Normal
EN101G	FRESHMAN ENGLISH	0.5	English	Fall Semester	9th	N/A	N/A	Recommendation by the division leader.	Develops writing skills, reading comprehension, and research techniques.	Yes	Normal
EN102C	FRESHMAN CLIMB ENGLISH	0.5	English	Spring Semester	9th	N/A	N/A	Approval of the division leader.	Same as Fall, with a focus on strengthening reading and writing skills.	Yes	Normal
EN102G	FRESHMAN ENGLISH	0.5	English	Spring Semester	9th	N/A	N/A	Recommendation by the division leader.	Same as Fall, focusing on reading comprehension and writing strategies.	Yes	Normal
EN103C	TARGETED READING LEVEL 1	0.5	English	Fall Semester	9th	N/A	N/A	Recommendation by the division leader.	Focuses on reading strategies for freshmen with weak reading skills.	Yes	Normal
EN104C	TARGETED READING LEVEL 1	0.5	English	Spring Semester	9th	N/A	N/A	Recommendation by the division leader.	Continuation of reading improvement with strategies and class discussions.	Yes	Normal
EN111G	H FRESHMAN ENGLISH	0.5	English	Fall Semester	9th	N/A	N/A	Placement by Division Leader	Honors level, focuses on advanced writing and higher-level thinking.	Yes	Honors
EN112G	H FRESHMAN ENGLISH	0.5	English	Spring Semester	9th	N/A	N/A	Placement by Division Leader	Honors level, continues developing higher-level thinking and composition.	Yes	Honors
EN201C	SOPHOMORE CLIMB ENGLISH	0.5	English	Fall Semester	10th	N/A	N/A	Recommendation by the division leader.	Provides strategies for reading, writing, and thinking for students below grade level.	Yes	Normal
EN201G	SOPHOMORE ENGLISH	0.5	English	Fall Semester	10th	N/A	N/A	English EN101G/EN102G	Links reading, writing, speaking, and listening in an integrated context.	Yes	Normal
EN202C	SOPHOMORE CLIMB ENGLISH	0.5	English	Spring Semester	10th	N/A	N/A	Recommendation by the division leader.	Same as Fall, supports students' development in reading and writing.	Yes	Normal
EN202G	SOPHOMORE ENGLISH	0.5	English	Spring Semester	10th	N/A	N/A	English EN101G/EN102G	Continues the integration of reading, writing, and speaking in a range of texts.	Yes	Normal
EN211G	H SOPHOMORE ENGLISH	0.5	English	Fall Semester	10th	N/A	N/A	English 101H, 102H or teacher recommendation	Honors course emphasizing reading, writing, speaking, and analytical thinking.	Yes	Honors
EN212G	H SOPHOMORE ENGLISH	0.5	English	Spring Semester	10th	N/A	N/A	English 101H, 102H or teacher recommendation	Honors course continuing higher-level reading, writing, and analytical thinking.	Yes	Honors
EN301C	JUNIOR CLIMB ENGLISH	0.5	English	Fall Semester	11th	N/A	N/A	Level(s): 11	The purpose of Climb is to provide an environment for students designed to increase reading, writing, and listening skills. The curriculum includes a special focus on developing reading and writing strategies for students who have a reading level that is below grade level.	Yes	Normal
EN301G	JUNIOR ENGLISH	0.5	English	Fall Semester	11th	N/A	N/A	None	Students will continue to develop the reading, writing, listening, speaking and research skills that were explored and developed in freshman and sophomore English. Students will be challenged to explore style, tone, and syntax for varied purposes and audiences.	Yes	Normal
EN302C	JUNIOR CLIMB ENGLISH	0.5	English	Spring Semester	11th	N/A	N/A	Level(s): 11	The purpose of Climb is to provide an environment for students designed to increase reading, writing, and listening skills. The curriculum includes a special focus on developing reading and writing strategies for students who have a reading level that is below grade level.	Yes	Normal
EN302G	JUNIOR ENGLISH	0.5	English	Spring Semester	11th	N/A	N/A	None	Students will continue to develop the reading, writing, listening, speaking and research skills that were explored and developed in freshman and sophomore English. Students will be challenged to explore style, tone, and syntax for varied purposes and audiences.	Yes	Normal
EN311G	H JUNIOR ENGLISH	0.5	English	Fall Semester	11th	N/A	N/A	B- or better for students enrolled in Sophomore (H) is recommended. For students enrolled in Sophomore English 210, teacher recommendation is required.	Junior Honors is a course focused on building students' critical thinking skills. Through an inquiry-based approach, students in this course will explore various complex, real-world problems and potential solutions gleaned from various text sets, examine multiple lenses and perspectives, evaluate source credibility, craft evidence-based arguments, and clearly communicate their findings.	Yes	Honors
EN312G	H JUNIOR ENGLISH	0.5	English	Spring Semester	11th	N/A	N/A	B- or better for students enrolled in Sophomore (H) is recommended. For students enrolled in Sophomore English 210, teacher recommendation is required.	Junior Honors is a course focused on building students' critical thinking skills. Through an inquiry-based approach, students in this course will explore various complex, real-world problems and potential solutions gleaned from various text sets, examine multiple lenses and perspectives, evaluate source credibility, craft evidence-based arguments, and clearly communicate their findings.	Yes	Honors
EN403G	BEST SELLERS	0.5	English	Fall Semester	12th	N/A	N/A	Successful completion of Freshmen, Sophomore and Junior English	Best Sellers is a study of present-day literature that exposes students to a variety of genres and themes from diverse perspectives. In order to learn more about themselves and others, students will engage in daily reading and discussion. Additional assessments will include presentations and written analyses of stories.	Yes	Normal
EN406G	DRAMATIC LITERATURE	0.5	English	Spring Semester	12th	N/A	N/A	Successful completion of Freshmen, Sophomore and Junior English	In this course students will learn to critique, create, and perform through the exploration of theatrical literature and production. Students will have the opportunity to read multiple dramatic texts from diverse voices, critically analyze performances, and compose original scripts. Performance opportunities will be offered throughout the semester.	Yes	Normal
EN407G	COLLEGE & CAREER WRITING	0.5	English	Fall Semester	12th	N/A	N/A	Recommendation of the division leader.	College and Career Writing strengthens the skills necessary for effective post-secondary writing. The course covers sentence structure, usage, punctuation, paragraphing, prewriting, organization, drafting, editing, and proofreading. This course is designed to prepare students to pass a college English placement test and to write effectively for a variety of career pathways.	Yes	Normal
EN408G	COLLEGE & CAREER WRITING	0.5	English	Spring Semester	12th	N/A	N/A	Recommendation of the division leader.	College and Career Writing strengthens the skills necessary for effective post-secondary writing. The course covers sentence structure, usage, punctuation, paragraphing, prewriting, organization, drafting, editing, and proofreading. This course is designed to prepare students to pass a college English placement test and to write effectively for a variety of career pathways.	Yes	Normal
EN409G	LITERATURE & CULTURE I	0.5	English	Fall Semester	12th	N/A	N/A	Successful completion of Freshmen, Sophomore and Junior English	Students will examine literature through various lenses. As a result of this course, students will develop a curiosity for human expression across cultures and time.	Yes	Normal
EN410G	LITERATURE & CULTURE II	0.5	English	Spring Semester	12th	N/A	N/A	Successful completion of Freshmen, Sophomore, and Junior English.	Students will examine literature through various lenses. As a result of this course, students will develop a curiosity for human expression across cultures and time.	Yes	Normal
